yr,mody,vic,nsw,qld,wa,sa,tas,act,nt,total
2021,Sep 6 ,245 ,1282 ,5 ,1 ,1 ,0 ,15 ,0 ,1545 
2021,Sep 5 ,183 ,1459 ,0 ,0 ,1 ,0 ,32 ,0 ,1658 
2021,Sep 4 ,189 ,1516 ,2 ,0 ,2 ,0 ,18 ,0 ,1741 
2021,Sep 3 ,209 ,1416 ,0 ,0 ,2 ,0 ,12 ,0 ,1645 
2021,Sep 2 ,174 ,1280 ,2 ,0 ,4 ,0 ,23 ,0 ,1472 
2021,Sep 1 ,116 ,1102 ,1 ,0 ,0 ,0 ,13 ,0 ,1242 
2021,Aug 31 ,75 ,1151 ,0 ,0 ,0 ,0 ,12 ,0 ,1239 
2021,Aug 30 ,70 ,1272 ,1 ,0 ,0 ,0 ,13 ,1 ,1356 
2021,Aug 29 ,92 ,1213 ,1 ,0 ,0 ,0 ,26 ,0 ,1319 
2021,Aug 28 ,63 ,1026 ,4 ,2 ,1 ,0 ,21 ,0 ,1122 
2021,Aug 27 ,78 ,875 ,1 ,0 ,0 ,0 ,14 ,0 ,975 
2021,Aug 26 ,79 ,1016 ,2 ,0 ,0 ,0 ,9 ,1 ,1112 
2021,Aug 25 ,41 ,910 ,-2 ,20 ,0 ,0 ,30 ,0 ,978 
2021,Aug 24 ,51 ,745 ,6 ,0 ,0 ,0 ,16 ,0 ,832 
2021,Aug 23 ,71 ,803 ,2 ,1 ,1 ,0 ,19 ,0 ,894 
2021,Aug 22 ,66 ,824 ,0 ,0 ,0 ,0 ,8 ,0 ,909 
2021,Aug 21 ,61 ,820 ,2 ,0 ,0 ,0 ,11 ,0 ,891 
2021,Aug 20 ,57 ,636 ,1 ,1 ,0 ,0 ,16 ,0 ,706 
2021,Aug 19 ,57 ,674 ,0 ,0 ,1 ,0 ,22 ,0 ,748 
2021,Aug 18 ,23 ,627 ,4 ,1 ,0 ,0 ,17 ,0 ,677 
2021,Aug 17 ,25 ,438 ,2 ,0 ,0 ,0 ,19 ,0 ,482 
2021,Aug 16 ,22 ,475 ,0 ,2 ,0 ,0 ,2 ,1 ,519 
2021,Aug 15 ,25 ,411 ,0 ,0 ,0 ,0 ,2 ,0 ,438 
2021,Aug 14 ,21 ,463 ,7 ,0 ,0 ,0 ,4 ,0 ,493 
2021,Aug 13 ,15 ,384 ,8 ,0 ,0 ,0 ,1 ,0 ,411 
2021,Aug 12 ,27 ,343 ,11 ,0 ,0 ,0 ,0 ,0 ,382 
2021,Aug 11 ,15 ,345 ,3 ,0 ,0 ,0 ,0 ,0 ,363 
2021,Aug 10 ,20 ,356 ,3 ,0 ,0 ,0 ,0 ,0 ,379 
2021,Aug 9 ,11 ,284 ,5 ,0 ,0 ,0 ,0 ,0 ,300 
2021,Aug 8 ,13 ,261 ,9 ,0 ,2 ,0 ,0 ,0 ,285 
2021,Aug 7 ,29 ,315 ,13 ,0 ,0 ,0 ,0 ,0 ,357 
2021,Aug 6 ,6 ,286 ,10 ,0 ,0 ,1 ,0 ,1 ,304 
2021,Aug 5 ,7 ,262 ,27 ,1 ,0 ,0 ,0 ,0 ,297 
2021,Aug 4 ,0 ,232 ,19 ,0 ,3 ,0 ,0 ,0 ,254 
2021,Aug 3 ,5 ,201 ,16 ,0 ,0 ,0 ,0 ,0 ,222 
2021,Aug 2 ,2 ,207 ,15 ,1 ,1 ,0 ,0 ,1 ,227 
2021,Aug 1 ,4 ,239 ,9 ,0 ,3 ,0 ,0 ,0 ,255 
2021,Jul 31 ,2 ,211 ,7 ,0 ,0 ,0 ,0 ,0 ,220 
2021,Jul 30 ,3 ,172 ,2 ,0 ,0 ,0 ,0 ,0 ,177 
2021,Jul 29 ,7 ,238 ,1 ,6 ,2 ,0 ,0 ,5 ,259 
2021,Jul 28 ,8 ,176 ,20 ,1 ,0 ,0 ,0 ,0 ,205 
2021,Jul 27 ,10 ,175 ,0 ,2 ,0 ,0 ,0 ,0 ,187 
2021,Jul 26 ,12 ,150 ,0 ,0 ,2 ,0 ,0 ,0 ,164 
2021,Jul 25 ,11 ,141 ,7 ,0 ,3 ,0 ,0 ,0 ,162 
2021,Jul 24 ,12 ,159 ,0 ,0 ,1 ,0 ,0 ,1 ,173 
2021,Jul 23 ,14 ,135 ,2 ,0 ,4 ,0 ,0 ,0 ,155 
2021,Jul 22 ,28 ,124 ,0 ,0 ,6 ,0 ,0 ,0 ,158 
2021,Jul 21 ,23 ,112 ,0 ,2 ,3 ,0 ,0 ,0 ,140 
2021,Jul 20 ,16 ,79 ,5 ,8 ,4 ,0 ,0 ,0 ,112 
2021,Jul 19 ,13 ,100 ,2 ,1 ,3 ,0 ,0 ,0 ,119 
2021,Jul 18 ,18 ,109 ,0 ,0 ,0 ,0 ,0 ,0 ,127 
2021,Jul 17 ,20 ,117 ,1 ,1 ,0 ,0 ,0 ,0 ,139 
2021,Jul 16 ,10 ,98 ,1 ,0 ,6 ,0 ,0 ,1 ,116 
2021,Jul 15 ,10 ,67 ,5 ,0 ,2 ,0 ,0 ,1 ,85 
2021,Jul 14 ,2 ,99 ,5 ,0 ,2 ,0 ,0 ,0 ,108 
2021,Jul 13 ,3 ,93 ,3 ,0 ,0 ,0 ,0 ,0 ,99 
2021,Jul 12 ,0 ,116 ,1 ,1 ,2 ,0 ,0 ,1 ,121 
2021,Jul 11 ,0 ,82 ,1 ,2 ,1 ,0 ,0 ,0 ,86 
2021,Jul 10 ,3 ,52 ,5 ,0 ,2 ,0 ,0 ,0 ,62 
2021,Jul 9 ,1 ,45 ,0 ,0 ,2 ,0 ,0 ,2 ,50 
2021,Jul 8 ,0 ,39 ,3 ,0 ,1 ,0 ,0 ,1 ,44 
2021,Jul 7 ,0 ,28 ,1 ,0 ,0 ,0 ,0 ,0 ,29 
2021,Jul 6 ,2 ,18 ,6 ,3 ,0 ,0 ,0 ,0 ,29 
2021,Jul 5 ,2 ,37 ,6 ,0 ,1 ,0 ,0 ,0 ,46 
2021,Jul 4 ,1 ,16 ,3 ,1 ,2 ,0 ,0 ,0 ,23 
2021,Jul 3 ,0 ,40 ,8 ,0 ,1 ,0 ,0 ,0 ,49 
2021,Jul 2 ,2 ,32 ,5 ,1 ,2 ,0 ,0 ,0 ,42 
2021,Jul 1 ,-1 ,28 ,4 ,1 ,0 ,0 ,0 ,1 ,33 
2021,Jun 30 ,2 ,28 ,4 ,3 ,11 ,0 ,0 ,0 ,48 
2021,Jun 29 ,2 ,20 ,6 ,2 ,2 ,0 ,0 ,2 ,34 
2021,Jun 28 ,2 ,22 ,3 ,1 ,0 ,0 ,0 ,1 ,29 
2021,Jun 27 ,1 ,32 ,3 ,0 ,3 ,0 ,0 ,3 ,42 
2021,Jun 26 ,3 ,28 ,1 ,0 ,2 ,0 ,0 ,1 ,35 
2021,Jun 25 ,2 ,12 ,2 ,0 ,-3 ,0 ,0 ,0 ,13 
2021,Jun 24 ,4 ,19 ,3 ,1 ,4 ,0 ,0 ,0 ,31 
2021,Jun 23 ,0 ,10 ,1 ,0 ,0 ,0 ,0 ,1 ,12 
2021,Jun 22 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,10 
2021,Jun 21 ,9 ,8 ,5 ,0 ,3 ,0 ,0 ,0 ,25 
2021,Jun 20 ,2 ,5 ,1 ,0 ,0 ,0 ,0 ,0 ,8 
2021,Jun 19 ,3 ,6 ,0 ,0 ,1 ,0 ,0 ,0 ,10 
2021,Jun 18 ,2 ,2 ,3 ,0 ,3 ,0 ,0 ,1 ,11 
2021,Jun 17 ,1 ,3 ,6 ,0 ,1 ,0 ,0 ,0 ,11 
2021,Jun 16 ,9 ,3 ,0 ,1 ,4 ,0 ,0 ,0 ,17 
2021,Jun 15 ,3 ,4 ,3 ,1 ,1 ,0 ,0 ,0 ,12 
2021,Jun 14 ,6 ,6 ,2 ,0 ,0 ,0 ,0 ,0 ,14 
2021,Jun 13 ,0 ,1 ,8 ,0 ,1 ,0 ,0 ,1 ,11 
2021,Jun 12 ,4 ,1 ,0 ,0 ,3 ,0 ,0 ,0 ,8 
2021,Jun 11 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,3 
2021,Jun 10 ,4 ,3 ,8 ,0 ,1 ,0 ,0 ,0 ,16 
2021,Jun 9 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,6 
2021,Jun 8 ,3 ,3 ,1 ,0 ,2 ,0 ,0 ,1 ,10 
2021,Jun 7 ,11 ,5 ,0 ,0 ,3 ,0 ,0 ,0 ,19 
2021,Jun 6 ,8 ,5 ,2 ,0 ,2 ,0 ,0 ,0 ,17 
2021,Jun 5 ,6 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,8 
2021,Jun 4 ,4 ,0 ,8 ,0 ,1 ,0 ,0 ,0 ,13 
2021,Jun 3 ,3 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,7 
2021,Jun 2 ,5 ,1 ,1 ,-1 ,6 ,0 ,0 ,0 ,12 
2021,Jun 1 ,11 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,12 
2021,May 31 ,5 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,8 
2021,May 30 ,6 ,5 ,2 ,0 ,2 ,0 ,0 ,0 ,15 
2021,May 29 ,7 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,10 
2021,May 28 ,5 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,10 
2021,May 27 ,12 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,15 
2021,May 26 ,10 ,2 ,4 ,0 ,2 ,0 ,0 ,0 ,18 
2021,May 25 ,4 ,2 ,2 ,0 ,1 ,0 ,0 ,0 ,9 
2021,May 24 ,2 ,2 ,4 ,1 ,1 ,0 ,0 ,0 ,10 
2021,May 23 ,1 ,2 ,4 ,0 ,0 ,0 ,0 ,0 ,7 
2021,May 22 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,1 ,4 
2021,May 21 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,3 
2021,May 20 ,0 ,2 ,2 ,1 ,1 ,0 ,0 ,0 ,6 
2021,May 19 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,3 
2021,May 18 ,0 ,3 ,2 ,0 ,4 ,0 ,0 ,1 ,10 
2021,May 17 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,3 
2021,May 16 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,8 
2021,May 15 ,1 ,3 ,3 ,0 ,1 ,0 ,0 ,2 ,10 
2021,May 14 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 
2021,May 13 ,1 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,8 
2021,May 12 ,1 ,4 ,3 ,0 ,1 ,0 ,0 ,0 ,9 
2021,May 11 ,1 ,4 ,0 ,2 ,0 ,0 ,0 ,0 ,7 
2021,May 10 ,2 ,6 ,1 ,0 ,0 ,0 ,0 ,0 ,9 
2021,May 9 ,6 ,5 ,3 ,0 ,2 ,0 ,0 ,0 ,16 
2021,May 8 ,1 ,6 ,2 ,0 ,0 ,0 ,0 ,0 ,9 
2021,May 7 ,0 ,5 ,3 ,0 ,3 ,0 ,0 ,0 ,11 
2021,May 6 ,2 ,10 ,3 ,3 ,2 ,0 ,0 ,1 ,21 
2021,May 5 ,0 ,10 ,0 ,2 ,1 ,0 ,0 ,0 ,13 
2021,May 4 ,1 ,7 ,1 ,0 ,2 ,0 ,0 ,0 ,11 
2021,May 3 ,1 ,5 ,3 ,3 ,3 ,0 ,0 ,0 ,15 
2021,May 2 ,1 ,3 ,3 ,5 ,2 ,0 ,0 ,0 ,14 
2021,May 1 ,3 ,4 ,2 ,1 ,1 ,0 ,0 ,0 ,11 
2021,Apr 30 ,2 ,13 ,3 ,1 ,2 ,0 ,1 ,1 ,22 
2021,Apr 29 ,1 ,15 ,6 ,4 ,3 ,0 ,0 ,0 ,30 
2021,Apr 28 ,2 ,9 ,9 ,4 ,-1 ,0 ,0 ,1 ,24 
2021,Apr 27 ,4 ,12 ,9 ,4 ,1 ,0 ,0 ,0 ,30 
2021,Apr 26 ,0 ,8 ,3 ,0 ,14 ,0 ,0 ,4 ,29 
2021,Apr 25 ,1 ,1 ,2 ,2 ,1 ,0 ,0 ,1 ,8 
2021,Apr 24 ,2 ,1 ,3 ,2 ,1 ,0 ,0 ,10 ,19 
2021,Apr 23 ,2 ,18 ,4 ,0 ,1 ,0 ,0 ,12 ,37 
2021,Apr 22 ,2 ,5 ,1 ,2 ,9 ,0 ,0 ,5 ,24 
2021,Apr 21 ,3 ,8 ,1 ,2 ,2 ,0 ,0 ,3 ,19 
2021,Apr 20 ,1 ,3 ,0 ,3 ,3 ,0 ,0 ,6 ,16 
2021,Apr 19 ,4 ,8 ,0 ,2 ,6 ,0 ,0 ,4 ,24 
2021,Apr 18 ,0 ,6 ,2 ,6 ,0 ,0 ,0 ,0 ,14 
2021,Apr 17 ,2 ,7 ,1 ,1 ,4 ,0 ,0 ,6 ,21 
2021,Apr 16 ,0 ,7 ,6 ,1 ,1 ,0 ,0 ,0 ,15 
2021,Apr 15 ,5 ,9 ,1 ,1 ,2 ,0 ,0 ,0 ,18 
2021,Apr 14 ,0 ,3 ,2 ,7 ,1 ,0 ,0 ,1 ,14 
2021,Apr 13 ,0 ,5 ,2 ,3 ,8 ,0 ,0 ,0 ,18 
2021,Apr 12 ,2 ,9 ,2 ,1 ,0 ,0 ,0 ,0 ,14 
2021,Apr 11 ,0 ,6 ,0 ,2 ,1 ,0 ,0 ,0 ,9 
2021,Apr 10 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,6 
2021,Apr 9 ,0 ,2 ,1 ,0 ,2 ,0 ,0 ,0 ,5 
2021,Apr 8 ,0 ,2 ,3 ,0 ,1 ,0 ,0 ,0 ,6 
2021,Apr 7 ,0 ,6 ,6 ,1 ,1 ,0 ,0 ,0 ,14 
2021,Apr 6 ,0 ,7 ,-1 ,2 ,0 ,0 ,0 ,0 ,8 
2021,Apr 5 ,0 ,3 ,3 ,1 ,2 ,0 ,0 ,0 ,9 
2021,Apr 4 ,0 ,1 ,1 ,3 ,1 ,0 ,0 ,1 ,7 
2021,Apr 3 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,6 
2021,Apr 2 ,0 ,0 ,8 ,0 ,2 ,0 ,0 ,2 ,12 
2021,Apr 1 ,0 ,5 ,10 ,2 ,1 ,0 ,0 ,1 ,19 
2021,Mar 31 ,0 ,3 ,1 ,4 ,0 ,0 ,0 ,0 ,8 
2021,Mar 30 ,0 ,5 ,10 ,0 ,3 ,0 ,0 ,0 ,18 
2021,Mar 29 ,1 ,2 ,10 ,3 ,2 ,0 ,0 ,0 ,18 
2021,Mar 28 ,0 ,0 ,3 ,1 ,2 ,0 ,0 ,2 ,8 
2021,Mar 27 ,0 ,3 ,6 ,0 ,3 ,0 ,0 ,0 ,12 
2021,Mar 26 ,0 ,3 ,8 ,0 ,1 ,0 ,0 ,0 ,12 
2021,Mar 25 ,0 ,3 ,3 ,2 ,0 ,0 ,0 ,0 ,8 
2021,Mar 24 ,0 ,2 ,4 ,1 ,2 ,0 ,0 ,0 ,9 
2021,Mar 23 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,5 
2021,Mar 22 ,0 ,5 ,4 ,1 ,0 ,0 ,0 ,0 ,10 
2021,Mar 21 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,4 
2021,Mar 20 ,0 ,3 ,4 ,1 ,1 ,0 ,0 ,0 ,9 
2021,Mar 19 ,0 ,5 ,9 ,2 ,1 ,0 ,0 ,0 ,17 
2021,Mar 18 ,0 ,3 ,8 ,0 ,2 ,0 ,0 ,0 ,13 
2021,Mar 17 ,0 ,6 ,6 ,1 ,2 ,0 ,0 ,1 ,16 
2021,Mar 16 ,0 ,2 ,2 ,1 ,2 ,0 ,0 ,0 ,7 
2021,Mar 15 ,0 ,3 ,6 ,1 ,3 ,0 ,0 ,0 ,13 
2021,Mar 14 ,0 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,5 
2021,Mar 13 ,0 ,0 ,4 ,1 ,5 ,0 ,0 ,0 ,10 
2021,Mar 12 ,0 ,8 ,2 ,0 ,2 ,0 ,0 ,0 ,12 
2021,Mar 11 ,0 ,6 ,5 ,1 ,3 ,0 ,1 ,0 ,15 
2021,Mar 10 ,0 ,5 ,6 ,1 ,1 ,0 ,0 ,0 ,14 
2021,Mar 9 ,1 ,5 ,6 ,1 ,2 ,0 ,0 ,0 ,15 
2021,Mar 8 ,1 ,1 ,5 ,2 ,0 ,0 ,2 ,0 ,9 
2021,Mar 7 ,-1 ,2 ,3 ,1 ,0 ,0 ,0 ,0 ,7 
2021,Mar 6 ,1 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,10 
